Results of Simulation 1

Time	Q	dQ
132.6	0.383871	-0.0383871
132.8	0.376269	-0.0376269
133	0.368819	-0.0368819
133.2	0.361516	-0.0361516
133.4	0.354357	-0.0354357
133.6	0.34734	-0.034734
133.8	0.340463	-0.0340463
134	0.333721	-0.0333721
134.2	0.327113	-0.0327113
134.4	0.320636	-0.0320636
134.6	0.314287	-0.0314287
134.8	0.308063	-0.0308063
135	0.301963	-0.0301963
135.2	0.295984	-0.0295984
135.4	0.290123	-0.0290123
135.6	0.284378	-0.0284378
135.8	0.278747	-0.0278747
136	0.273228	-0.0273228
136.2	0.267817	-0.0267817
136.4	0.262514	-0.0262514
136.6	0.257316	-0.0257316
136.8	0.252221	-0.0252221
137	0.247227	-0.0247227
137.2	0.242331	-0.0242331
137.4	0.237533	-0.0237533
137.6	0.232829	-0.0232829
137.8	0.228219	-0.0228219
138	0.2237	-0.02237
138.2	0.21927	-0.021927
138.4	0.214929	-0.0214929
138.6	0.210673	-0.0210673
138.8	0.206501	-0.0206501
139	0.202412	-0.0202412
139.2	0.198404	-0.0198404
139.4	0.194475	-0.0194475
139.6	0.190625	-0.0190625
139.8	0.18685	-0.018685
140	0.18315	-0.018315
140.2	0.179523	-0.0179523
140.4	0.175969	-0.0175969
140.6	0.172484	-0.0172484
140.8	0.169069	-0.0169069
141	0.165721	-0.0165721
141.2	0.162439	-0.0162439
141.4	0.159223	-0.0159223
141.6	0.15607	-0.015607
141.8	0.15298	-0.015298
142	0.149951	-0.0149951
142.2	0.146981	-0.0146981
142.4	0.144071	-0.0144071
142.6	0.141218	-0.0141218
142.8	0.138422	-0.0138422
143	0.135681	-0.0135681
143.2	0.132994	-0.0132994
143.4	0.130361	-0.0130361
143.6	0.127779	-0.0127779
143.8	0.125249	-0.0125249
144	0.122769	-0.0122769
144.2	0.120338	-0.0120338
144.4	0.117955	-0.0117955
144.6	0.11562	-0.011562
144.8	0.11333	-0.011333
145	0.111086	-0.0111086
145.2	0.108886	-0.0108886
145.4	0.10673	-0.010673
145.6	0.104617	-0.0104617
145.8	0.102545	-0.0102545
146	0.100515	-0.0100515
146.2	0.0985245	-0.00985245
146.4	0.0965736	-0.00965736
146.6	0.0946613	-0.00946613
146.8	0.0927869	-0.00927869
147	0.0909496	-0.00909496
147.2	0.0891487	-0.00891487
147.4	0.0873834	-0.00873834
147.6	0.0856531	-0.00856531
147.8	0.0839571	-0.00839571
148	0.0822946	-0.00822946
148.2	0.0806651	-0.00806651
148.4	0.0790678	-0.00790678
148.6	0.0775021	-0.00775021
148.8	0.0759675	-0.00759675
149	0.0744632	-0.00744632
149.2	0.0729888	-0.00729888
149.4	0.0715435	-0.00715435
149.6	0.0701268	-0.00701268
149.8	0.0687382	-0.00687382
150	0.0673771	-0.00673771
150.2	0.066043	-0.0066043
150.4	0.0647352	-0.00647352
150.6	0.0634534	-0.00634534
150.8	0.0621969	-0.00621969
151	0.0609653	-0.00609653
151.2	0.0597581	-0.00597581
151.4	0.0585749	-0.00585749
151.6	0.057415	-0.0057415
151.8	0.0562781	-0.00562781
152	0.0551637	-0.00551637
152.2	0.0540714	-0.00540714
152.4	0.0530007	-0.00530007
152.6	0.0519512	-0.00519512
152.8	0.0509225	-0.00509225
153	0.0499142	-0.00499142
153.2	0.0489258	-0.00489258
153.4	0.047957	-0.0047957
153.6	0.0470074	-0.00470074
153.8	0.0460766	-0.00460766
154	0.0451642	-0.00451642
154.2	0.0442699	-0.00442699
154.4	0.0433933	-0.00433933
154.6	0.0425341	-0.00425341
154.8	0.0416918	-0.00416918
155	0.0408663	-0.00408663
155.2	0.0400571	-0.00400571
155.4	0.0392639	-0.00392639
155.6	0.0384864	-0.00384864
155.8	0.0377243	-0.00377243
156	0.0369773	-0.00369773
156.2	0.0362451	-0.00362451
156.4	0.0355274	-0.00355274
156.6	0.034824	-0.0034824
156.8	0.0341344	-0.00341344
157	0.0334585	-0.00334585
157.2	0.032796	-0.0032796
157.4	0.0321466	-0.00321466
157.6	0.03151	-0.003151
157.8	0.0308861	-0.00308861
158	0.0302745	-0.00302745
158.2	0.029675	-0.0029675
158.4	0.0290874	-0.00290874
158.6	0.0285114	-0.00285114
158.8	0.0279469	-0.00279469
159	0.0273935	-0.00273935
159.2	0.0268511	-0.00268511
159.4	0.0263194	-0.00263194
159.6	0.0257982	-0.00257982
159.8	0.0252874	-0.00252874
160	0.0247867	-0.00247867
160.2	0.0242958	-0.00242958
160.4	0.0238148	-0.00238148
160.6	0.0233432	-0.00233432
160.8	0.022881	-0.0022881
161	0.0224279	-0.00224279
161.2	0.0219838	-0.00219838
161.4	0.0215485	-0.00215485
161.6	0.0211218	-0.00211218
161.8	0.0207036	-0.00207036
162	0.0202936	-0.00202936
162.2	0.0198918	-0.00198918
162.4	0.0194979	-0.00194979
162.6	0.0191118	-0.00191118
162.8	0.0187334	-0.00187334
163	0.0183624	-0.00183624
163.2	0.0179988	-0.00179988
163.4	0.0176424	-0.00176424
163.6	0.0172931	-0.00172931
163.8	0.0169506	-0.00169506
164	0.016615	-0.0016615
164.2	0.016286	-0.0016286
164.4	0.0159635	-0.00159635
164.6	0.0156474	-0.00156474
164.8	0.0153376	-0.00153376
165	0.0150339	-0.00150339
165.2	0.0147362	-0.00147362
165.4	0.0144444	-0.00144444
165.6	0.0141584	-0.00141584
165.8	0.013878	-0.0013878
166	0.0136032	-0.00136032
166.2	0.0133338	-0.00133338
166.4	0.0130698	-0.00130698
166.6	0.012811	-0.0012811
166.8	0.0125573	-0.00125573
167	0.0123087	-0.00123087
167.2	0.012065	-0.0012065
167.4	0.0118261	-0.00118261
167.6	0.0115919	-0.00115919
167.8	0.0113624	-0.00113624
168	0.0111374	-0.00111374
168.2	0.0109168	-0.00109168
168.4	0.0107007	-0.00107007
168.6	0.0104888	-0.00104888
168.8	0.0102811	-0.00102811
169	0.0100775	-0.00100775
169.2	0.00987796	-0.000987796
169.4	0.00968236	-0.000968236
169.6	0.00949064	-0.000949064
169.8	0.00930271	-0.000930271
170	0.0091185	-0.00091185
170.2	0.00893794	-0.000893794
170.4	0.00876096	-0.000876096
170.6	0.00858748	-0.000858748
170.8	0.00841744	-0.000841744
171	0.00825076	-0.000825076
171.2	0.00808739	-0.000808739
171.4	0.00792724	-0.000792724
171.6	0.00777027	-0.000777027
171.8	0.00761641	-0.000761641
172	0.0074656	-0.00074656
