Results of Simulation 1

Time	Q	dQ
147.4	0.0873817	-0.00873817
147.6	0.0856515	-0.00856515
147.8	0.0839554	-0.00839554
148	0.082293	-0.0082293
148.2	0.0806635	-0.00806635
148.4	0.0790663	-0.00790663
148.6	0.0775006	-0.00775006
148.8	0.075966	-0.0075966
149	0.0744618	-0.00744618
149.2	0.0729874	-0.00729874
149.4	0.0715421	-0.00715421
149.6	0.0701255	-0.00701255
149.8	0.0687369	-0.00687369
150	0.0673758	-0.00673758
150.2	0.0660417	-0.00660417
150.4	0.064734	-0.0064734
150.6	0.0634522	-0.00634522
150.8	0.0621957	-0.00621957
151	0.0609642	-0.00609642
151.2	0.059757	-0.0059757
151.4	0.0585737	-0.00585737
151.6	0.0574139	-0.00574139
151.8	0.056277	-0.0056277
152	0.0551627	-0.00551627
152.2	0.0540704	-0.00540704
152.4	0.0529997	-0.00529997
152.6	0.0519502	-0.00519502
152.8	0.0509216	-0.00509216
153	0.0499132	-0.00499132
153.2	0.0489249	-0.00489249
153.4	0.0479561	-0.00479561
153.6	0.0470065	-0.00470065
153.8	0.0460757	-0.00460757
154	0.0451634	-0.00451634
154.2	0.0442691	-0.00442691
154.4	0.0433925	-0.00433925
154.6	0.0425333	-0.00425333
154.8	0.041691	-0.0041691
155	0.0408655	-0.00408655
155.2	0.0400563	-0.00400563
155.4	0.0392631	-0.00392631
155.6	0.0384857	-0.00384857
155.8	0.0377236	-0.00377236
156	0.0369766	-0.00369766
156.2	0.0362445	-0.00362445
156.4	0.0355268	-0.00355268
156.6	0.0348233	-0.00348233
156.8	0.0341337	-0.00341337
157	0.0334578	-0.00334578
157.2	0.0327953	-0.00327953
157.4	0.0321459	-0.00321459
157.6	0.0315094	-0.00315094
157.8	0.0308854	-0.00308854
158	0.0302739	-0.00302739
158.2	0.0296744	-0.00296744
158.4	0.0290868	-0.00290868
158.6	0.0285108	-0.00285108
158.8	0.0279462	-0.00279462
159	0.0273929	-0.00273929
159.2	0.0268504	-0.00268504
159.4	0.0263187	-0.00263187
159.6	0.0257976	-0.00257976
159.8	0.0252867	-0.00252867
160	0.024786	-0.0024786
160.2	0.0242952	-0.00242952
160.4	0.0238141	-0.00238141
160.6	0.0233426	-0.00233426
160.8	0.0228803	-0.00228803
161	0.0224273	-0.00224273
161.2	0.0219832	-0.00219832
161.4	0.0215479	-0.00215479
161.6	0.0211212	-0.00211212
161.8	0.020703	-0.0020703
162	0.020293	-0.0020293
162.2	0.0198912	-0.00198912
162.4	0.0194973	-0.00194973
162.6	0.0191113	-0.00191113
162.8	0.0187328	-0.00187328
163	0.0183619	-0.00183619
163.2	0.0179983	-0.00179983
163.4	0.0176419	-0.00176419
163.6	0.0172926	-0.00172926
163.8	0.0169502	-0.00169502
164	0.0166145	-0.00166145
164.2	0.0162856	-0.00162856
164.4	0.0159631	-0.00159631
164.6	0.015647	-0.0015647
164.8	0.0153372	-0.00153372
165	0.0150335	-0.00150335
165.2	0.0147358	-0.00147358
165.4	0.014444	-0.0014444
165.6	0.014158	-0.0014158
165.8	0.0138776	-0.00138776
166	0.0136028	-0.00136028
166.2	0.0133335	-0.00133335
166.4	0.0130695	-0.00130695
166.6	0.0128107	-0.00128107
166.8	0.012557	-0.0012557
167	0.0123084	-0.00123084
167.2	0.0120646	-0.00120646
167.4	0.0118257	-0.00118257
167.6	0.0115916	-0.00115916
167.8	0.011362	-0.0011362
168	0.0111371	-0.00111371
168.2	0.0109165	-0.00109165
168.4	0.0107004	-0.00107004
168.6	0.0104885	-0.00104885
168.8	0.0102808	-0.00102808
169	0.0100772	-0.00100772
169.2	0.00987769	-0.000987769
169.4	0.0096821	-0.00096821
169.6	0.00949038	-0.000949038
169.8	0.00930246	-0.000930246
170	0.00911826	-0.000911826
